nr,Name,Plate,Fibre Volume Fraction,Lab,Laminate ,Cut angle ,Manufacturer,Geometry,Material,taverage,wmax,wmin,waverage,area,Lnominal,Lmeasured,Lgauge,Radius (waist),TG and phase,Phase,start date,end date,Test type,R-value1,Fmax,Ferror,Fstatic,Ffatigue,"Fmax, 90",epsmax,epsstatic,epsfatigue,eps90,eps45,Nu,smax,"smax,static","smax, fatigue",shear strain,shear strength,shear modulus (near other moduli),Torquemax,Torquefatigue,Torquestatic,Ncycles,level,levelcalc,Nspectrum,failure mode,runout,R-value2,Fmax2,epsmax2,smax2,Ncycles2,ratedisplacement,f,f2,Eit,Eic,Eft,Efc,"Elur,front","Elur, back",eps_max_t,eps_max_c,Machine,control,grip,ABG,Temp.,Temp. control,Environment,Reference document,Remarks,Invalid ,Bending ,Buckling ,Overheating,Tab failure ,Delaminated ,Incomplete measurement data ,Strain from E ,LUR,TEC,data delivered under name,Repair characteristics,Strain measurement equipment (long),Strain measurement equipment (short),Grip pressure,time per test
1317,GEV213_R0390_0239,109,54.75,UP,UD3,90,LM,R0390,GE1,6.33,25.04,25.03,25.03,158.39,145,,,,TG 2 phase I,I,18/12/2003,18/12/2003,CA,10,-21.67,,,-21.67,,-1.08,,-1.08,,,,-136.83,,-136.83,,,,#WAARDE!,,,19268,1b,1b,,c,,,,,,,,2.73,,,15.76,,,,,,,"250 kN MTS, UP",l,h,n,,fan,"d, RT",OB_TG2_R021,,,,,,,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",50,1.96
1318,GEV213_R0390_0241,108,56.66,UP,UD3,90,LM,R0390,GE1,6.32,25.17,25.16,25.17,159.13,145,,,,TG 2 phase I,I,14/12/2003,15/12/2003,CA,-1,4.26,,,4.26,,,,,,,,26.76,,26.76,,,,#WAARDE!,,,45598,2,2,,t,,,,,,,,2.54,,,,,,,,,,"250 kN MTS, UP",l,h,n,,fan,"d, RT",OB_TG2_R021,Strain gauge measurements not recorded,,,,,x,,x,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",50,4.99
1319,GEV213_R0390_0242,108,56.66,UP,UD3,90,LM,R0390,GE1,6.33,25.14,25.05,25.09,158.82,145,,,,TG 2 phase I,I,15/12/2003,15/12/2003,CA,-1,4.26,,,4.26,,0.18,,0.18,,,,26.82,,26.82,,,,#WAARDE!,,,51941,2,2,,t,,,,,,,,2.54,,14.85,15.38,,,,,,,"250 kN MTS, UP",l,h,n,,fan,"d, RT",OB_TG2_R021,Strain was below 2500 με,,,,,,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",50,5.68
1320,GEV213_R0390_0248,108,56.66,UP,UD3,90,LM,R0390,GE1,6.35,25.19,25.19,25.19,159.96,145,,,,TG 2 phase I,I,15/12/2003,16/12/2003,CA,-1,4.26,,,4.26,,0.18,,0.18,,,,26.63,,26.63,,,,#WAARDE!,,,54605,2,2,,t,,,,,,,,2.54,,14.45,14.98,,,,,,,"250 kN MTS, UP",l,h,n,,fan,"d, RT",OB_TG2_R021,Strain was below 2500 με,,,,,,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",50,5.97
1321,GEV213_R0390_0253,108,56.66,UP,UD3,90,LM,R0390,GE1,6.27,25.16,25.15,25.15,157.71,145,,,,TG 2 phase I,I,11/12/2003,13/12/2003,CA,0.1,3.31,,,3.31,,0.14,,0.14,,,,21.00,,21.00,,,,#WAARDE!,,,1292567,3,3,,t,Y,,,,,,,7.44,,14.36,,,,,,,,"250 kN MTS, UP",l,h,n,,fan,"d, RT",OB_TG2_R021,Strain was below 2500 με. Test interrupted at n=1290067-1295067. Coupon failed because of the interruption,x,,,,x,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",50,48.26
1322,GEV213_R0390_0259,108,56.66,UP,UD3,90,LM,R0390,GE1,6.32,25.02,25.01,25.02,158.03,145,,,,TG 2 phase I,I,13/12/2003,13/12/2003,CA,-1,4.26,,,4.26,,0.18,,0.18,,,,26.95,,26.95,,,,#WAARDE!,,,15561,2,2,,t,,,,,,,,2.54,,14.32,14.69,,,,,,,"250 kN MTS, UP",l,h,n,23.9,fan,"d, RT",OB_TG2_R021,Strain was below 2500 με,,,,,x,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",50,1.70
1323,GEV213_R0390_0267,108,56.66,UP,UD3,90,LM,R0390,GE1,6.35,25.13,25.08,25.10,159.48,145,,,,TG 2 phase I,I,16/12/2003,16/12/2003,CA,-1,7.48,,,7.48,,0.34,,0.34,,,,46.93,,46.93,,,,#WAARDE!,,,511,1,1,,t,,,,,,,,0.84,,14.41,14.68,,,,,,,"250 kN MTS, UP",l,h,n,21.9,fan,"d, RT",OB_TG2_R021,,,,,,x,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",50,0.17
1324,GEV213_R0390_0268,108,56.66,UP,UD3,90,LM,R0390,GE1,6.49,24.96,24.94,24.95,161.93,145,,,,TG 2 phase I,I,17/12/2003,17/12/2003,CA,10,-21.55,,,-21.55,,,,,,,,-133.09,,-133.09,,,,#WAARDE!,,,23541,1b,1b,,c,,,,,,,,2.73,,,15.23,,,,,,,"250 kN MTS, UP",l,h,n,22.4,fan,"d, RT",OB_TG2_R021,Coupon surface not smooth,,,,,,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",50,2.40
1325,GEV206_R0300_0452,66,49.07,UP,UD2,0,LM,R0300,GE1,3.79,25.25,25.22,25.23,95.63,145,,,,TG 1 phase I,I,15/01/2004,15/01/2004,CA,-1,32.55,,,32.55,,0.89,,0.89,,,,340.37,,340.37,,,,#WAARDE!,,,4300,1B,1b,,t,,,,,,,,1.22,,38.45,38.76,,,,,,,"250 kN MTS, UP",l,h,n,33.6,fan,"d, RT",OB_TG1_R013,,,x,,,x,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",120,0.98
1326,GEV206_R0300_0497,69,50.65,UP,UD2,0,LM,R0300,GE1,3.84,25.20,25.15,25.17,96.73,145,,,,TG 1 phase I,I,15/01/2004,15/01/2004,CA,-1,32.47,,,32.47,,0.89,,0.89,,,,335.68,,335.68,,,,#WAARDE!,,,3228,1B,1b,,t,,,,,,,,1.22,,38.38,38.56,,,,,,,"250 kN MTS, UP",l,h,n,,fan,"d, RT",OB_TG1_R013,Coupon from VUB,,,,,x,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",120,0.73
1327,GEV206_R0300_0628,86,51.11,UP,UD2,0,LM,R0300,GE1,3.74,25.43,25.44,25.44,95.21,145,,,,TG 1 phase I,I,16/01/2004,16/01/2004,CA,-1,32.81,,,32.81,,0.90,,0.90,,,,344.64,,344.64,,,,#WAARDE!,,,5787,1B,1b,,t,,,,,,,,1.22,,38.77,39.03,,,,,,,"250 kN MTS, UP",l,h,n,,fan,"d, RT",OB_TG1_R013,,,x,,,x,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",120,1.32
1328,GEV206_R0300_0162,27,50.66,UP,UD2,0,LM,R0300,GE1,3.86,24.98,24.88,24.92,96.27,145,,,,TG 1 phase I,I,15/01/2004,15/01/2004,CA,-1,32.15,,,32.15,,0.88,,0.88,,,,333.91,,333.91,,,,#WAARDE!,,,3797,1B,1b,,t,,,,,,,,1.22,,38.33,38.37,,,,,,,"250 kN MTS, UP",l,h,n,,fan,"d, RT",OB_TG1_R013/OB_TG2_R013,One strain gauge not working,,,,,x,,x,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",120,0.86
1329,GEV206_R0300_0627,86,51.11,UP,UD2,0,LM,R0300,GE1,3.82,25.27,25.30,25.28,96.65,145,,,,TG 1 phase I,I,16/01/2004,16/01/2004,CA,-1,32.61,,,32.61,,0.92,,0.92,,,,337.43,,337.43,,,,#WAARDE!,,,4810,1B,1b,,t,,,,,,,,1.22,,37.51,37.46,,,,,,,"250 kN MTS, UP",l,h,n,,fan,"d, RT",OB_TG1_R013,One strain gauge not working,,,,,x,,x,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",120,1.10
1330,GEV206_R0300_0442,66,49.07,UP,UD2,0,LM,R0300,GE1,3.81,25.23,25.22,25.23,96.04,145,,,,TG 1 phase I,I,09/03/2004,14/03/2004,CA,-1,16.90,,,16.90,,0.46,,0.46,,,,175.97,,175.97,,,,#WAARDE!,,,1734291,3,3,,t,,,,,,,,4.56,,38.58,38.47,,,,,,,"250 kN MTS, UP",l,h,n,,fan with cooling,"d, RT",OB_TG1_R013,,,,,,,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",120,105.65
1347,GEV206_I1100_0001,18,52.58,RISØ,UD2,0,LM,I1100,GE1, 3.870,25.30,25.30,25.30 ,97.91,300,,150.00,,TG 3 phase I,I,23/01/2004,23/01/2004,STT,,65.38,,65.37,,,2.00,2.00,,,,0.251344493,667.70,667.69,,,,,19202.05,,,1,,,,t,,,,,,,0.25,,,34.77,,,,,,0.0192,#DELING.DOOR.0!,"100 kN Instron, RISØ",d,h,,,,"d, RT; submersed in salt water for 6 months",, loading,,,,,,,,,,,,,,,,0.25
1348,GEV206_I1100_0002,18,52.58,RISØ,UD2,0,LM,I1100,GE1, 3.800,24.99,24.99,24.99 ,94.96,300,,150.00,,TG 3 phase I,I,23/01/2004,23/01/2004,STT,,61.53,,61.35,,,1.89,1.89,,,,0.278796458,647.89,646.04,,,,,16710.48,,,1,,,,t,,,,,,,0.25,,,38.66,,,,,,0.0168,#DELING.DOOR.0!,"100 kN Instron, RISØ",d,h,,,,"d, RT; submersed in salt water for 6 months",, loading,,,,,,,,,,,,,,,,0.25
1349,GEV206_I1100_0015,18,52.58,RISØ,UD2,0,LM,I1100,GE1, 3.86,25.03,25.03,25.03 ,96.62,300,,150.00,,TG 3 phase I,I,23/01/2003,23/01/2003,STT,,65.68,,65.62,,,1.86,1.86,,,,0.382612862,679.75,679.24,,,,,17632.36,,,1,,,,t,,,,,,,0.25,,,38.52,,,,,,0.0176,#DELING.DOOR.0!,"100 kN Instron, RISØ",d,h,,,,"d, RT; submersed in salt water for 6 months",, loading,,,,,,,,,,,,,,,,0.25
1350,GEV206_I1100_0006,18,52.58,RISØ,UD2,0,LM,I1100,GE1, 3.690,24.86,24.86,24.86 ,91.73,300,,150.00,,TG 3 phase I,I,26/01/2004,26/01/2004,STT,,55.50,,55.47,,,1.62,1.62,,,,0.342742567,605.01,604.74,,,,,15102.24,,,1,,,,t,,,,,,,0.25,,,40.04,,,,,,0.0151,#DELING.DOOR.0!,"100 kN Instron, RISØ",d,h,,,,"d, RT; submersed in salt water for 6 months",,loading-unloading,,,,,,,,,x,,,,,,,0.25
1351,GEV206_I1100_0007,18,52.58,RISØ,UD2,0,LM,I1100,GE1, 3.820,24.89,24.89,24.89 ,95.08,300,,150.00,,TG 3 phase I,I,26/01/2004,26/01/2004,STT,,59.88,,67.70,,,1.75,1.75,,,,0.385793096,629.73,712.03,,,,,18826.34,,,1,,,,t,,,,,,,0.25,,,37.82,,,,,,0.0167,#DELING.DOOR.0!,"100 kN Instron, RISØ",d,h,,,,"d, RT; submersed in salt water for 6 months",,loading-unloading,,,,,,,,,x,,,,,,,0.25
1352,GEV206_I1100_0008,18,52.58,RISØ,UD2,0,LM,I1100,GE1, 3.850,25.05,25.05,25.05 ,96.44,300,,150.00,,TG 3 phase I,I,26/01/2004,26/01/2004,STT,,49.93,,55.45,,,1.38,1.38,,,,0.337365787,517.67,574.95,,,,,14847.70,,,1,,,,t,,,,,,,0.25,,,38.72,,,,,,0.0134,#DELING.DOOR.0!,"100 kN Instron, RISØ",d,h,,,,"d, RT; submersed in salt water for 6 months",,loading-unloading,,,,,,,,,x,,,,,,,0.25
1353,GEV206_I1100_0012,18,52.58,RISØ,UD2,0,LM,I1100,GE1, 3.940,24.95,24.95,24.95 ,98.30,300,,150.00,,TG 3 phase I,I,26/01/2004,26/01/2004,STT,,59.88,,69.45,,,1.69,1.69,,,,0.229611017,609.09,706.48,,,,,19435.51,,,1,,,,t,,,,,,,0.25,,,36.35,,,,,,0.0168,#DELING.DOOR.0!,"100 kN Instron, RISØ",d,h,,,,"d, RT; submersed in salt water for 6 months",,loading-unloading,,,,,,,,,x,,,,,,,0.25
1354,GEV206_I1100_0014,18,52.58,RISØ,UD2,0,LM,I1100,GE1, 3.81,25.06,25.06,25.06 ,95.48,300,,150.00,,TG 3 phase I,I,26/01/2004,26/01/2004,STT,,60.00,,68.30,,,1.78,1.78,,,,0.400615459,628.41,715.34,,,,,19214.32,,,1,,,,t,,,,,,,0.25,,,37.23,,,,,,0.0169,#DELING.DOOR.0!,"100 kN Instron, RISØ",d,h,,,,"d, RT; submersed in salt water for 6 months",,loading-unloading,,,,,,,,,x,,,,,,,0.25
1355,GEV206_I1190_0001,15,54.57,RISØ,UD2,90,LM,I1190,GE1, 3.77,24.78,24.78,24.78 ,93.42,300,,150.00,,TG 3 phase I,I,29/01/2004,29/01/2004,STT,,5.02,,5.01,,,0.58,0.58,,,,-0.041717198,53.68,53.68,,,,,4693.77,,,1,,,,t,,,,,,,0.25,,,11.44,,,,,,0.0047,#DELING.DOOR.0!,"100 kN Instron, RISØ",d,h,,,,"d, RT; submersed in salt water for 6 months",, loading,,,,,,,,,,,,,,,,0.25
1356,GEV206_I1190_0003,15,54.57,RISØ,UD2,90,LM,I1190,GE1, 3.780,24.91,24.91,24.91 ,94.16,300,,150.00,,TG 3 phase I,I,29/01/2004,29/01/2004,STT,,5.06,,5.06,,,0.60,0.60,,,,-0.009793115,53.74,53.74,,,,,4560.56,,,1,,,,t,,,,,,,0.25,,,11.78,,,,,,0.0046,#DELING.DOOR.0!,"100 kN Instron, RISØ",d,h,,,,"d, RT; submersed in salt water for 6 months",, loading,,,,,,,,,,,,,,,,0.25
1357,GEV206_I1190_0006,15,54.57,RISØ,UD2,90,LM,I1190,GE1, 3.770,24.87,24.87,24.87 ,93.76,300,,150.00,,TG 3 phase I,I,29/01/2004,29/01/2004,STT,,5.17,,5.17,,,0.60,0.60,,,,0.06233726,55.14,55.14,,,,,4764.34,,,1,,,,t,,,,,,,0.25,,,11.57,,,,,,0.0048,#DELING.DOOR.0!,"100 kN Instron, RISØ",d,h,,,,"d, RT; submersed in salt water for 6 months",, loading,,,,,,,,,,,,,,,,0.25
1359,GEV206_I1190_0008,15,54.57,RISØ,UD2,90,LM,I1190,GE1, 3.81,24.94,24.94,24.94 ,95.02,300,,150.00,,TG 3 phase I,I,28/01/2004,28/01/2004,STT,,4.73,,4.72,,,0.53,0.53,,,,0.182909701,49.73,49.72,,,,,4044.35,,,1,,,,t,,,,,,,0.25,,,12.29,,,,,,0.0040,#DELING.DOOR.0!,"100 kN Instron, RISØ",d,h,,,,"d, RT; submersed in salt water for 6 months",, loading,,,,,,,,,,,,,,,,0.25
1360,GEV206_I1190_0017,15,54.57,RISØ,UD2,90,LM,I1190,GE1, 3.81,24.90,24.90,24.90 ,94.87,300,,150.00,,TG 3 phase I,I,28/01/2004,28/01/2004,STT,,5.07,,5.06,,,0.50,0.50,,,,0.237446474,53.44,53.33,,,,,4086.26,,,1,,,,t,,,,,,,0.25,,,13.05,,,,,,0.0041,#DELING.DOOR.0!,"100 kN Instron, RISØ",d,h,,,,"d, RT; submersed in salt water for 6 months",, loading,,,,,,,,,,,,,,,,0.25
1362,GEV206_I1190_0010,15,54.57,RISØ,UD2,90,LM,I1190,GE1,3.80,24.56,24.56,24.56,93.33,300,,150.00,,TG 3 phase I,I,06/02/2004,06/02/2004,,,,,,,,,,,,,,,,,1.03,,5.33,#WAARDE!,,,1,,,,t,,,,,,,0.25,,,,,,,,,,,"100 kN Instron, RISØ",d,h,,,,"d, RT",,not tested,x,,,,,,,,,,,,,,,
1364,GEV206_I1190_0007,15,54.57,RISØ,UD2,90,LM,I1190,GE1, 3.83,24.56,24.56,25.05 ,95.94,300,,150.00,,TG 3 phase I,I,28/01/2004,28/01/2004,STT,,5.10,,5.10,,,0.53,0.53,,,,0.19687007,53.16,,,1.10,,5.21,#WAARDE!,,,1,,,,t,,,,,,,0.25,,,12.85,,,,,,,,"100 kN Instron, RISØ",d,h,,,,"d, RT; submersed in salt water for 6 months",, loading,,,,,,,,,,,,,,,,0.25
1365,GEV206_I1190_0011,15,54.57,RISØ,UD2,90,LM,I1190,GE1,3.99,24.59,24.59,24.59,98.11,300,,150.00,,TG 3 phase I,I,18/02/2004,18/02/2004,,,,,,,,,,,,,,,,,1.09,,5.41,#WAARDE!,,,1,,,,t,,,,,,,,,,,,,,,,,,"100 kN Instron, RISØ",d,h,,,,"d, RT",,not tested,x,,,,,,,,,,,,,,,
1366,GEV206_I1190_0012,15,54.57,RISØ,UD2,90,LM,I1190,GE1,3.93,24.72,24.72,24.72,97.15,300,,150.00,,TG 3 phase I,I,18/02/2004,18/02/2004,,,,,,,,,,,,,,,,,0.89,,5.35,#WAARDE!,,,1,,,,t,,,,,,,,,,,,,,,,,,"100 kN Instron, RISØ",d,h,,,,"d, RT",,not tested,x,,,,,,,,,,,,,,,
1368,GEV206_I1190_0015,15,54.57,RISØ,UD2,90,LM,I1190,GE1,3.94,24.52,24.52,24.52,96.61,300,,150.00,,TG 3 phase I,I,20/02/2004,20/02/2004,,,,,,,,,,,,,,,,,1.30,,4.93,#WAARDE!,,,1,,,,t,,,,,,,,,,,,,,,,,,"100 kN Instron, RISØ",d,h,,,,"d, RT",,not tested,x,,,,,,,,,,,,,,,
1369,GEV206_R0300_0625,86,51.11,UP,UD2,0,LM,R0300,GE1,3.82,25.29,25.30,25.30,96.56,145,,,,TG 1 phase I,I,21/01/2004,05/04/2004,CA,-1,16.95,,,16.95,,0.45,,0.45,,,,175.53,,175.53,,,,#WAARDE!,,,1177955,3,3,,t,,,,,,,,4.56,,39.41,39.68,,,,,,,"250 kN MTS, UP",l,h,n,,fan,"d, RT",OB_TG1_R013,Test interrupted seven time,,,,,x,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",120,71.76
1370,GEV213_R0390_0350,112,55.05,UP,UD3,90,LM,R0390,GE1,6.39,25.14,25.11,25.12,160.62,145,,,,TG 2 phase I,I,10/01/2004,10/01/2004,CA,-1,4.33,,,4.33,,0.17,,0.17,,,,26.95,,26.95,,,,#WAARDE!,,,17719,2,2,,t,,,,,,,,2.54,,14.78,15.85,,,,,,,"250 kN MTS, UP",l,h,n,,fan,"d, RT",OB_TG2_R021,Strain was below 2500 με. Coupon surface not smooth,,,,,x,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",50,1.94
1371,GEV213_R0390_0348,112,55.05,UP,UD3,90,LM,R0390,GE1,6.14,25.00,24.96,24.98,153.27,145,,,,TG 2 phase I,I,11/01/2004,11/01/2004,CA,-1,4.13,,,4.13,,0.18,,0.18,,,,26.95,,26.95,,,,#WAARDE!,,,20685,2,2,,t,,,,,,,,2.54,,14.39,15.20,,,,,,,"250 kN MTS, UP",l,h,n,,fan,"d, RT",OB_TG2_R021,Strain was below 2500 με,,,,,x,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",50,2.26
1372,GEV213_R0390_0330,112,55.05,UP,UD3,90,LM,R0390,GE1,6.14,25.08,25.00,25.05,153.87,145,,,,TG 2 phase I,I,09/01/2004,09/01/2004,CA,10,-23.60,,,-23.60,,,,,,,,-153.36,,-153.36,,,,#WAARDE!,,,494,1,1,,c,,,,,,,,2.73,,,15.76,,,,,,,"250 kN MTS, UP",l,h,n,,fan,"d, RT",OB_TG2_R021,,,,,,,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",50,0.05
1373,GEV213_R0390_0324,112,55.05,UP,UD3,90,LM,R0390,GE1,6.09,25.20,25.17,25.18,153.45,145,,,,TG 2 phase I,I,13/01/2004,13/01/2004,CA,-1,7.20,,,7.20,,0.31,,0.31,,,,46.91,,46.91,,,,#WAARDE!,,,285,1,1,,t,,,,,,,,0.84,,14.92,15.99,,,,,,,"250 kN MTS, UP",l,h,n,,fan,"d, RT",OB_TG2_R021,,,,,,x,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",50,0.09
1374,GEV213_R0390_0323,112,55.05,UP,UD3,90,LM,R0390,GE1,6.00,25.04,25.03,25.04,150.30,145,,,,TG 2 phase I,I,09/01/2004,09/01/2004,CA,10,-23.05,,,-23.05,,,,,,,,-153.35,,-153.35,,,,#WAARDE!,,,706,1,1,,c,,,,,,,,2.73,,,15.32,,,,,,,"250 kN MTS, UP",l,h,n,,fan,"d, RT",OB_TG2_R021,,,,,,,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",50,0.07
1375,GEV213_R0390_0321,112,55.05,UP,UD3,90,LM,R0390,GE1,6.17,25.13,25.10,25.11,154.87,145,,,,TG 2 phase I,I,09/01/2004,09/01/2004,CA,10,-23.75,,,-23.75,,,,,,,,-153.35,,-153.35,,,,#WAARDE!,,,490,1,1,,c,,,,,,,,2.73,,,15.48,,,,,,,"250 kN MTS, UP",l,h,n,,fan,"d, RT",OB_TG2_R021,,,,,,,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",50,0.05
1376,GEV213_R0390_0319,112,55.05,UP,UD3,90,LM,R0390,GE1,6.10,25.15,25.11,25.13,153.40,145,,,,TG 2 phase I,I,10/01/2004,10/01/2004,CA,-1,4.13,,,4.13,,0.18,,0.18,,,,26.95,,26.95,,,,#WAARDE!,,,8216,2,2,,t,,,,,,,,2.54,,14.08,14.88,,,,,,,"250 kN MTS, UP",l,h,n,,fan,"d, RT",OB_TG2_R021,Strain was below 2500 με,,,,,x,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",50,0.90
1377,GEV213_R0390_0316,112,55.05,UP,UD3,90,LM,R0390,GE1,6.09,25.02,24.94,24.98,152.21,145,,,,TG 2 phase I,I,09/01/2004,09/01/2004,CA,10,-23.34,,,-23.34,,,,,,,,-153.34,,-153.34,,,,#WAARDE!,,,275,1,1,,c,,,,,,,,2.73,,,16.13,,,,,,,"250 kN MTS, UP",l,h,n,,n,"d, RT",OB_TG2_R021,,,,,,,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",50,0.03
1378,GEV213_R0390_0302,112,55.05,UP,UD3,90,LM,R0390,GE1,6.06,25.11,25.08,25.10,152.09,145,,,,TG 2 phase I,I,13/01/2004,13/01/2004,CA,-1,7.14,,,7.14,,0.31,,0.31,,,,46.92,,46.92,,,,#WAARDE!,,,6,1,1,,t,,,,,,,,0.84,,15.14,16.19,,,,,,,"250 kN MTS, UP",l,h,n,,fan,"d, RT",OB_TG2_R021,,,,,,x,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",50,0.00
1379,GEV213_R0390_0290,112,55.05,UP,UD3,90,LM,R0390,GE1,6.11,25.15,25.12,25.14,153.67,145,,,,TG 2 phase I,I,09/01/2004,09/01/2004,CA,-1,4.14,,,4.14,,0.16,,0.16,,,,26.95,,26.95,,,,#WAARDE!,,,10151,2,2,,t,,,,,,,,2.54,,15.73,16.64,,,,,,,"250 kN MTS, UP",l,h,n,27.6,fan,"d, RT",OB_TG2_R021,Strain was below 2500 με,,,,,x,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",50,1.11
1380,GEV213_R0390_0285,112,55.05,UP,UD3,90,LM,R0390,GE1,5.98,25.04,25.01,25.03,149.74,145,,,,TG 2 phase I,I,09/01/2004,09/01/2004,CA,10,-22.96,,,-22.96,,,,,,,,-153.36,,-153.36,,,,#WAARDE!,,,486,1,1,,c,,,,,,,,2.73,,,15.81,,,,,,,"250 kN MTS, UP",l,h,n,27.5,fan,"d, RT",OB_TG2_R021,,,,,,,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",50,0.05
1381,GEV213_R0390_0282,112,55.05,UP,UD3,90,LM,R0390,GE1,6.12,25.07,25.06,25.07,153.49,145,,,,TG 2 phase I,I,09/01/2004,09/01/2004,CA,10,-22.96,,,-22.96,,-1.35,,-1.35,,,,-149.61,,-149.61,,,,#WAARDE!,,,171,1,1,,c,,,,,,,,2.73,,,14.98,,,,,,,"250 kN MTS, UP",l,h,n,,n,"d, RT",OB_TG2_R021,One strain gauge was misaligned,,,,,,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",50,0.02
1382,GEV213_R0390_0280,112,55.05,UP,UD3,90,LM,R0390,GE1,6.07,25.15,25.08,25.12,152.54,145,,,,TG 2 phase I,I,13/01/2004,13/01/2004,CA,-1,7.16,,,7.16,,0.30,,0.30,,,,46.92,,46.92,,,,#WAARDE!,,,370,1,1,,t,,,,,,,,0.84,,15.39,16.56,,,,,,,"250 kN MTS, UP",l,h,n,,fan,"d, RT",OB_TG2_R021,,,,,,x,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",50,0.12
1383,GEV213_R0390_0274,112,55.05,UP,UD3,90,LM,R0390,GE1,6.09,25.12,25.04,25.08,152.82,145,,,,TG 2 phase I,I,09/01/2004,09/01/2004,CA,-1,4.12,,,4.12,,0.17,,0.17,,,,26.95,,26.95,,,,#WAARDE!,,,9873,2,2,,t,,,,,,,,2.54,,14.37,15.93,,,,,,,"250 kN MTS, UP",l,h,n,,fan,"d, RT",OB_TG2_R021,Test stopped during 1st segment and was restarted. Strain was below 2500 με.,,,,,x,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",50,1.08
1384,GEV213_R0390_0271,112,55.05,UP,UD3,90,LM,R0390,GE1,6.18,25.13,25.06,25.10,155.12,145,,,,TG 2 phase I,I,09/01/2004,09/01/2004,CA,10,-23.79,,,-23.79,,,,,,,,-153.35,,-153.35,,,,#WAARDE!,,,156,1,1,,c,,,,,,,,2.73,,,15.40,,,,,,,"250 kN MTS, UP",l,h,n,,fan,"d, RT",OB_TG2_R021,,,,,,,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",50,0.02
1385,GEV213_R0390_0329,112,55.05,UP,UD3,90,LM,R0390,GE1,6.01,25.15,25.10,25.12,151.03,145,,,,TG 2 phase I,I,19/12/2003,19/12/2003,CA,10,-20.67,,,-20.67,,,,,,,,-136.84,,-136.84,,,,#WAARDE!,,,24985,1b,1b,,c,,,,,,,,2.73,,,15.50,,,,,,,"250 kN MTS, UP",l,h,n,,fan,"d, RT",OB_TG2_R021,,,,,,,,,,,,,,"Strain gauge:   HBM 6/350 LY11, Middle, Center, BTB","SG, M, C, BTB",50,2.54
